# GO_ID	C0	C1	Gene	C3	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14	C15	C16
GO:0005509	UniProtKB	A0A024QZ42	PDCD6		GO_REF:0000002	IEA	InterPro:IPR002048	F	HCG1985580, isoform CRA_c	A0A024QZ42_HUMAN|PDCD6|hCG_1985580	protein	taxon:9606	20160409	InterPro		
GO:0018160	UniProtKB	F5H345	HMBS		GO_REF:0000002	IEA	InterPro:IPR022419	P	Porphobilinogen deaminase	F5H345_HUMAN|HMBS	protein	taxon:9606	20160409	InterPro		
GO:0018969	UniProtKB	F5H386	LPO		GO_REF:0000002	IEA	InterPro:IPR029587	P	Lactoperoxidase	F5H386_HUMAN|LPO	protein	taxon:9606	20160410	GOC		
GO:0036393	UniProtKB	F5H386	LPO		GO_REF:0000002	IEA	InterPro:IPR029587	F	Lactoperoxidase	F5H386_HUMAN|LPO	protein	taxon:9606	20160409	InterPro		
GO:0008449	UniProtKB	F5H4C6	GNS		GO_REF:0000002	IEA	InterPro:IPR015981	F	N-acetylglucosamine-6-sulfatase	F5H4C6_HUMAN|GNS	protein	taxon:9606	20160409	InterPro		
GO:0030203	UniProtKB	F5H4C6	GNS		GO_REF:0000002	IEA	InterPro:IPR015981	P	N-acetylglucosamine-6-sulfatase	F5H4C6_HUMAN|GNS	protein	taxon:9606	20160409	InterPro		
GO:0005881	UniProtKB	F5H5D3	TUBA1C		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000051033	C	Tubulin alpha-1C chain	F5H5D3_HUMAN|TUBA1C	protein	taxon:9606	20160409	Ensembl		
GO:0003680	UniProtKB	F5H6H0	HMGA2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000072556	F	High mobility group protein HMGI-C	F5H6H0_HUMAN|HMGA2	protein	taxon:9606	20160409	Ensembl		
GO:0010564	UniProtKB	F5H6H0	HMGA2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000072556	P	High mobility group protein HMGI-C	F5H6H0_HUMAN|HMGA2	protein	taxon:9606	20160409	Ensembl		
GO:0021846	UniProtKB	F5H6H0	HMGA2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000072556	P	High mobility group protein HMGI-C	F5H6H0_HUMAN|HMGA2	protein	taxon:9606	20160409	Ensembl		
GO:0021983	UniProtKB	F5H6H0	HMGA2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000072556	P	High mobility group protein HMGI-C	F5H6H0_HUMAN|HMGA2	protein	taxon:9606	20160409	Ensembl		
GO:0033144	UniProtKB	F5H6H0	HMGA2		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000061041	P	High mobility group protein HMGI-C	F5H6H0_HUMAN|HMGA2	protein	taxon:9606	20160409	Ensembl		
GO:0035019	UniProtKB	F5H6H0	HMGA2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000072556	P	High mobility group protein HMGI-C	F5H6H0_HUMAN|HMGA2	protein	taxon:9606	20160409	Ensembl		
GO:0046426	UniProtKB	F5H6H0	HMGA2		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000061041	P	High mobility group protein HMGI-C	F5H6H0_HUMAN|HMGA2	protein	taxon:9606	20160409	Ensembl		
GO:0048712	UniProtKB	F5H6H0	HMGA2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000072556	P	High mobility group protein HMGI-C	F5H6H0_HUMAN|HMGA2	protein	taxon:9606	20160409	Ensembl		
GO:0060123	UniProtKB	F5H6H0	HMGA2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000072556	P	High mobility group protein HMGI-C	F5H6H0_HUMAN|HMGA2	protein	taxon:9606	20160409	Ensembl		
GO:2000648	UniProtKB	F5H6H0	HMGA2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000072556	P	High mobility group protein HMGI-C	F5H6H0_HUMAN|HMGA2	protein	taxon:9606	20160409	Ensembl		
GO:0016818	UniProtKB	F5H6N4	CHD4		GO_REF:0000002	IEA	InterPro:IPR012958	F	Chromodomain-helicase-DNA-binding protein 4	F5H6N4_HUMAN|CHD4	protein	taxon:9606	20160409	InterPro		
GO:0005031	UniProtKB	F5H6V7	TNFRSF1A		GO_REF:0000002	IEA	InterPro:IPR020419	F	Tumor necrosis factor receptor superfamily member 1A	F5H6V7_HUMAN|TNFRSF1A	protein	taxon:9606	20160409	InterPro		
GO:0006693	UniProtKB	F5H6V7	TNFRSF1A		GO_REF:0000002	IEA	InterPro:IPR020419	P	Tumor necrosis factor receptor superfamily member 1A	F5H6V7_HUMAN|TNFRSF1A	protein	taxon:9606	20160409	InterPro		
GO:0005761	UniProtKB	F5H702	MRPL48		GO_REF:0000002	IEA	InterPro:IPR027487	C	39S ribosomal protein L48, mitochondrial	F5H702_HUMAN|MRPL48	protein	taxon:9606	20160409	InterPro		
GO:0022865	UniProtKB	F5H757	CYB561		GO_REF:0000002	IEA	InterPro:IPR028837	F	Cytochrome b561	F5H757_HUMAN|CYB561	protein	taxon:9606	20160409	InterPro		
GO:0000815	UniProtKB	F5H875	CHMP1A		GO_REF:0000002	IEA	InterPro:IPR029888	C	Charged multivesicular body protein 1a	F5H875_HUMAN|CHMP1A	protein	taxon:9606	20160409	InterPro		
GO:0030948	UniProtKB	F6R503	DAB2IP		GO_REF:0000002	IEA	InterPro:IPR030403	P	Disabled homolog 2-interacting protein	F6R503_HUMAN|DAB2IP	protein	taxon:9606	20160409	InterPro		
GO:0038026	UniProtKB	F6R503	DAB2IP		GO_REF:0000002	IEA	InterPro:IPR030403	P	Disabled homolog 2-interacting protein	F6R503_HUMAN|DAB2IP	protein	taxon:9606	20160409	InterPro		
GO:0030836	UniProtKB	F6RFD5	DSTN		GO_REF:0000002	IEA	InterPro:IPR029924	P	Destrin	F6RFD5_HUMAN|DSTN	protein	taxon:9606	20160409	InterPro		
GO:2001275	UniProtKB	F6TDL0	PIK3R3		GO_REF:0000024	ISS	UniProtKB:F1MDQ5	P	Phosphatidylinositol 3-kinase regulatory subunit gamma	F6TDL0_HUMAN|PIK3R3	protein	taxon:9606	20150522	AgBase		
GO:0004689	UniProtKB	F6VCX5	PHKG1		GO_REF:0000002	IEA	InterPro:IPR002291	F	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	F6VCX5_HUMAN|PHKG1	protein	taxon:9606	20160409	InterPro		
GO:0005964	UniProtKB	F6VCX5	PHKG1		GO_REF:0000002	IEA	InterPro:IPR002291	C	Phosphorylase b kinase gamma catalytic chain, skeletal muscle/heart isoform	F6VCX5_HUMAN|PHKG1	protein	taxon:9606	20160409	InterPro		
GO:0016973	UniProtKB	F6VRR5	POLDIP3		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000054548	P	Polymerase delta-interacting protein 3	F6VRR5_HUMAN|POLDIP3	protein	taxon:9606	20160409	Ensembl		
GO:0046599	UniProtKB	F6VUX8	CENPJ		GO_REF:0000002	IEA	InterPro:IPR033068	P	Centromere protein J	F6VUX8_HUMAN|CENPJ	protein	taxon:9606	20160409	InterPro		
GO:0008425	UniProtKB	F6WGP0	COQ3		GO_REF:0000002	IEA	InterPro:IPR010233	F	Ubiquinone biosynthesis O-methyltransferase, mitochondrial	F6WGP0_HUMAN|COQ3	protein	taxon:9606	20160409	InterPro		
GO:0046604	UniProtKB	F6WQW2	RANBP1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000111309	P	Ran-specific GTPase-activating protein	F6WQW2_HUMAN|RANBP1	protein	taxon:9606	20160409	Ensembl		
GO:0072750	UniProtKB	F6WQW2	RANBP1		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000002579	P	Ran-specific GTPase-activating protein	F6WQW2_HUMAN|RANBP1	protein	taxon:9606	20160409	Ensembl		
GO:1904115	UniProtKB	F6WQW2	RANBP1		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000002579	C	Ran-specific GTPase-activating protein	F6WQW2_HUMAN|RANBP1	protein	taxon:9606	20160409	Ensembl		
GO:0090155	UniProtKB	F6WST4	ORMDL1		GO_REF:0000002	IEA	InterPro:IPR029884	P	ORM1-like protein 1	F6WST4_HUMAN|ORMDL1	protein	taxon:9606	20160409	InterPro		
GO:0045569	UniProtKB	F8U8C0	TNFRSF10A		GO_REF:0000002	IEA	InterPro:IPR020465	F	Tumor necrosis factor receptor superfamily member 10A	F8U8C0_HUMAN|TNFRSF10A	protein	taxon:9606	20160409	InterPro		
GO:0001948	UniProtKB	F8VNR3	TGFA		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000032066	F	Protransforming growth factor alpha	F8VNR3_HUMAN|TGFA	protein	taxon:9606	20160409	Ensembl		
GO:0060749	UniProtKB	F8VNR3	TGFA		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000032066	P	Protransforming growth factor alpha	F8VNR3_HUMAN|TGFA	protein	taxon:9606	20160409	Ensembl		
GO:0072574	UniProtKB	F8VNR3	TGFA		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000032066	P	Protransforming growth factor alpha	F8VNR3_HUMAN|TGFA	protein	taxon:9606	20160409	Ensembl		
GO:0016841	UniProtKB	F8VNX0	HAL		GO_REF:0000002	IEA	InterPro:IPR022313	F	Histidine ammonia-lyase	F8VNX0_HUMAN|HAL	protein	taxon:9606	20160409	InterPro		
GO:1990077	UniProtKB	F8VNY2	PRIM1		GO_REF:0000038	IEA	UniProtKB-KW:KW-0639	C	DNA primase	F8VNY2_HUMAN|PRIM1	protein	taxon:9606	20160410	UniProt		
GO:0016881	UniProtKB	F8VNZ6	RNF41		GO_REF:0000002	IEA	InterPro:IPR015036	F	E3 ubiquitin-protein ligase NRDP1	F8VNZ6_HUMAN|RNF41	protein	taxon:9606	20160409	InterPro		
GO:0031386	UniProtKB	F8VNZ6	RNF41		GO_REF:0000002	IEA	InterPro:IPR015036	F	E3 ubiquitin-protein ligase NRDP1	F8VNZ6_HUMAN|RNF41	protein	taxon:9606	20160409	InterPro		
GO:0004029	UniProtKB	F8VP50	F8VP50		GO_REF:0000033	IBA	PANTHER:PTN000192421	F	Uncharacterized protein	F8VP50_HUMAN	protein	taxon:9606	20140731	GO_Central		
GO:0016442	UniProtKB	F8VP94	TARBP2		GO_REF:0000002	IEA	InterPro:IPR028605	C	RISC-loading complex subunit TARBP2	F8VP94_HUMAN|TARBP2	protein	taxon:9606	20160409	InterPro		
GO:0030422	UniProtKB	F8VP94	TARBP2		GO_REF:0000002	IEA	InterPro:IPR028605	P	RISC-loading complex subunit TARBP2	F8VP94_HUMAN|TARBP2	protein	taxon:9606	20160409	InterPro		
GO:0031054	UniProtKB	F8VP94	TARBP2		GO_REF:0000002	IEA	InterPro:IPR028605	P	RISC-loading complex subunit TARBP2	F8VP94_HUMAN|TARBP2	protein	taxon:9606	20160409	InterPro		
GO:0035197	UniProtKB	F8VP94	TARBP2		GO_REF:0000002	IEA	InterPro:IPR028605	F	RISC-loading complex subunit TARBP2	F8VP94_HUMAN|TARBP2	protein	taxon:9606	20160409	InterPro		
GO:0035280	UniProtKB	F8VP94	TARBP2		GO_REF:0000002	IEA	InterPro:IPR028605	P	RISC-loading complex subunit TARBP2	F8VP94_HUMAN|TARBP2	protein	taxon:9606	20160409	InterPro		
GO:0046782	UniProtKB	F8VP94	TARBP2		GO_REF:0000002	IEA	InterPro:IPR028605	P	RISC-loading complex subunit TARBP2	F8VP94_HUMAN|TARBP2	protein	taxon:9606	20160409	InterPro		
GO:0046912	UniProtKB	F8VPA1	CS		GO_REF:0000002	IEA	InterPro:IPR002020	F	Citrate synthase, mitochondrial	F8VPA1_HUMAN|CS	protein	taxon:9606	20160409	InterPro		
GO:0004070	UniProtKB	F8VPD4	CAD		GO_REF:0000002	IEA	InterPro:IPR002082	F	CAD protein	F8VPD4_HUMAN|CAD	protein	taxon:9606	20160409	InterPro		
GO:0004088	UniProtKB	F8VPD4	CAD		GO_REF:0000002	IEA	InterPro:IPR006274	F	CAD protein	F8VPD4_HUMAN|CAD	protein	taxon:9606	20160409	InterPro		
GO:0016812	UniProtKB	F8VPD4	CAD		GO_REF:0000002	IEA	InterPro:IPR002195	F	CAD protein	F8VPD4_HUMAN|CAD	protein	taxon:9606	20160409	InterPro		
GO:0008434	UniProtKB	F8VPF8	VDR		GO_REF:0000002	IEA	InterPro:IPR000324	F	Vitamin D3 receptor	F8VPF8_HUMAN|VDR	protein	taxon:9606	20160409	InterPro		
GO:0070561	UniProtKB	F8VPF8	VDR		GO_REF:0000002	IEA	InterPro:IPR000324	P	Vitamin D3 receptor	F8VPF8_HUMAN|VDR	protein	taxon:9606	20160410	GOC		
GO:0030835	UniProtKB	F8VQE1	LIMA1		GO_REF:0000002	IEA	InterPro:IPR028740	P	LIM domain and actin-binding protein 1	F8VQE1_HUMAN|LIMA1	protein	taxon:9606	20160409	InterPro		
GO:0008028	UniProtKB	F8VQS4	SLC16A7		GO_REF:0000002	IEA	InterPro:IPR027178	F	Monocarboxylate transporter 2	F8VQS4_HUMAN|SLC16A7	protein	taxon:9606	20160409	InterPro		
GO:1901475	UniProtKB	F8VQS4	SLC16A7		GO_REF:0000002	IEA	InterPro:IPR027178	P	Monocarboxylate transporter 2	F8VQS4_HUMAN|SLC16A7	protein	taxon:9606	20160409	InterPro		
GO:0070084	UniProtKB	F8VQZ7	METAP2		GO_REF:0000020	IEA	HAMAP:MF_03175	P	Methionine aminopeptidase 2	F8VQZ7_HUMAN|METAP2	protein	taxon:9606	20160409	UniProt		
GO:0017108	UniProtKB	F8VR31	DNA2		GO_REF:0000002	IEA	InterPro:IPR026851	F	DNA replication ATP-dependent helicase/nuclease DNA2	F8VR31_HUMAN|DNA2	protein	taxon:9606	20160409	InterPro		
GO:0033567	UniProtKB	F8VR31	DNA2		GO_REF:0000002	IEA	InterPro:IPR026851	P	DNA replication ATP-dependent helicase/nuclease DNA2	F8VR31_HUMAN|DNA2	protein	taxon:9606	20160409	InterPro		
GO:0043142	UniProtKB	F8VR31	DNA2		GO_REF:0000002	IEA	InterPro:IPR026851	F	DNA replication ATP-dependent helicase/nuclease DNA2	F8VR31_HUMAN|DNA2	protein	taxon:9606	20160409	InterPro		
GO:0006772	UniProtKB	F8VRJ6	TPK1		GO_REF:0000002	IEA	InterPro:IPR006282	P	Thiamin pyrophosphokinase 1	F8VRJ6_HUMAN|TPK1	protein	taxon:9606	20160409	InterPro		
GO:0008269	UniProtKB	F8VRV3	SOCS2		GO_REF:0000002	IEA	InterPro:IPR028410	F	Suppressor of cytokine-signaling 2	F8VRV3_HUMAN|SOCS2	protein	taxon:9606	20160409	InterPro		
GO:0015098	UniProtKB	F8VV69	MFSD5		GO_REF:0000002	IEA	InterPro:IPR008509	F	Molybdate-anion transporter	F8VV69_HUMAN|MFSD5	protein	taxon:9606	20160409	InterPro		
GO:0015689	UniProtKB	F8VV69	MFSD5		GO_REF:0000002	IEA	InterPro:IPR008509	P	Molybdate-anion transporter	F8VV69_HUMAN|MFSD5	protein	taxon:9606	20160409	InterPro		
GO:0014068	UniProtKB	F8VVT9	AGAP2		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000029533	P	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	F8VVT9_HUMAN|AGAP2	protein	taxon:9606	20160409	Ensembl		
GO:0030295	UniProtKB	F8VVT9	AGAP2		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000029533	F	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	F8VVT9_HUMAN|AGAP2	protein	taxon:9606	20160409	Ensembl		
GO:0032147	UniProtKB	F8VVT9	AGAP2		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000029533	P	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	F8VVT9_HUMAN|AGAP2	protein	taxon:9606	20160409	Ensembl		
GO:0033601	UniProtKB	F8VVT9	AGAP2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000043466	P	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	F8VVT9_HUMAN|AGAP2	protein	taxon:9606	20160409	Ensembl		
GO:0043524	UniProtKB	F8VVT9	AGAP2		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000029533	P	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	F8VVT9_HUMAN|AGAP2	protein	taxon:9606	20160409	Ensembl		
GO:0046427	UniProtKB	F8VVT9	AGAP2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000043466	P	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	F8VVT9_HUMAN|AGAP2	protein	taxon:9606	20160409	Ensembl		
GO:2001240	UniProtKB	F8VVT9	AGAP2		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000029533	P	Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 2	F8VVT9_HUMAN|AGAP2	protein	taxon:9606	20160409	Ensembl		
GO:0004461	UniProtKB	F8VWU1	LALBA		GO_REF:0000002	IEA	InterPro:IPR000545	F	Alpha-lactalbumin	F8VWU1_HUMAN|LALBA	protein	taxon:9606	20160409	InterPro		
GO:0005989	UniProtKB	F8VWU1	LALBA		GO_REF:0000002	IEA	InterPro:IPR000545	P	Alpha-lactalbumin	F8VWU1_HUMAN|LALBA	protein	taxon:9606	20160409	InterPro		
GO:0006868	UniProtKB	F8VX04	SLC38A1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000097833	P	Sodium-coupled neutral amino acid transporter 1	F8VX04_HUMAN|SLC38A1	protein	taxon:9606	20160409	Ensembl		
GO:0015186	UniProtKB	F8VX04	SLC38A1		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000097833	F	Sodium-coupled neutral amino acid transporter 1	F8VX04_HUMAN|SLC38A1	protein	taxon:9606	20160409	Ensembl		
GO:0015232	UniProtKB	F8VXV4	SLC48A1		GO_REF:0000002	IEA	InterPro:IPR026218	F	Heme transporter HRG1	F8VXV4_HUMAN|SLC48A1	protein	taxon:9606	20160409	InterPro		
GO:0015886	UniProtKB	F8VXV4	SLC48A1		GO_REF:0000002	IEA	InterPro:IPR026218	P	Heme transporter HRG1	F8VXV4_HUMAN|SLC48A1	protein	taxon:9606	20160409	InterPro		
GO:0005788	UniProtKB	F8VY02	ERP29		GO_REF:0000002	IEA	InterPro:IPR012883	C	Endoplasmic reticulum resident protein 29	F8VY02_HUMAN|ERP29	protein	taxon:9606	20160409	InterPro		
GO:0048858	UniProtKB	F8VZ95	F8VZ95		GO_REF:0000033	IBA	PANTHER:PTN000326249	P	Uncharacterized protein	F8VZ95_HUMAN	protein	taxon:9606	20150528	GO_Central		
GO:0004949	UniProtKB	F8W187	CNR1		GO_REF:0000002	IEA	InterPro:IPR000810	F	Cannabinoid receptor 1	F8W187_HUMAN|CNR1	protein	taxon:9606	20160409	InterPro		
GO:0038171	UniProtKB	F8W187	CNR1		GO_REF:0000002	IEA	InterPro:IPR000810	P	Cannabinoid receptor 1	F8W187_HUMAN|CNR1	protein	taxon:9606	20160410	GOC		
GO:0006172	UniProtKB	F8W1A4	AK2		GO_REF:0000020	IEA	HAMAP:MF_03168	P	Adenylate kinase 2, mitochondrial	F8W1A4_HUMAN|AK2	protein	taxon:9606	20160409	UniProt		
GO:0046033	UniProtKB	F8W1A4	AK2		GO_REF:0000020	IEA	HAMAP:MF_03168	P	Adenylate kinase 2, mitochondrial	F8W1A4_HUMAN|AK2	protein	taxon:9606	20160409	UniProt		
GO:0030307	UniProtKB	F8W1B7	MMP14		GO_REF:0000002	IEA	InterPro:IPR028693	P	Matrix metalloproteinase-14	F8W1B7_HUMAN|MMP14	protein	taxon:9606	20160409	InterPro		
GO:0006399	UniProtKB	F8W1H4	F8W1H4		GO_REF:0000033	IBA	PANTHER:PTN000049487	P	Uncharacterized protein	F8W1H4_HUMAN	protein	taxon:9606	20140730	GO_Central		
GO:0051500	UniProtKB	F8W1H4	F8W1H4		GO_REF:0000033	IBA	PANTHER:PTN000049487	F	Uncharacterized protein	F8W1H4_HUMAN	protein	taxon:9606	20140730	GO_Central		
GO:0008376	UniProtKB	F8W6H2	CHPF		GO_REF:0000002	IEA	InterPro:IPR008428	F	Chondroitin sulfate synthase 2	F8W6H2_HUMAN|CHPF	protein	taxon:9606	20160409	InterPro		
GO:0071565	UniProtKB	F8W7T1	DPF3		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000136280	C	Zinc finger protein DPF3	F8W7T1_HUMAN|DPF3	protein	taxon:9606	20160409	Ensembl		
GO:0002626	UniProtKB	F8W7W8	HFE		GO_REF:0000002	IEA	InterPro:IPR031092	P	Hereditary hemochromatosis protein	F8W7W8_HUMAN|HFE	protein	taxon:9606	20160409	InterPro		
GO:0097459	UniProtKB	F8W7W8	HFE		GO_REF:0000002	IEA	InterPro:IPR031092	P	Hereditary hemochromatosis protein	F8W7W8_HUMAN|HFE	protein	taxon:9606	20160409	InterPro		
GO:0045098	UniProtKB	F8W835	PRPH		GO_REF:0000002	IEA	InterPro:IPR027700	C	Peripherin	F8W835_HUMAN|PRPH	protein	taxon:9606	20160409	InterPro		
GO:0021549	UniProtKB	F8W883	MYO16		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000022741	P	Uncharacterized protein	F8W883_HUMAN|MYO16	protein	taxon:9606	20160409	Ensembl		
GO:0019781	UniProtKB	F8W8D4	UBA3		GO_REF:0000002	IEA	InterPro:IPR030468	F	NEDD8-activating enzyme E1 catalytic subunit	F8W8D4_HUMAN|UBA3	protein	taxon:9606	20160409	InterPro		
GO:0045116	UniProtKB	F8W8D4	UBA3		GO_REF:0000002	IEA	InterPro:IPR014929|InterPro:IPR030468	P	NEDD8-activating enzyme E1 catalytic subunit	F8W8D4_HUMAN|UBA3	protein	taxon:9606	20160409	InterPro		
GO:0033925	UniProtKB	F8W925	ENGASE		GO_REF:0000002	IEA	InterPro:IPR005201|InterPro:IPR032979	F	Cytosolic endo-beta-N-acetylglucosaminidase	F8W925_HUMAN|ENGASE	protein	taxon:9606	20160409	InterPro		
GO:0004056	UniProtKB	F8W943	ASL		GO_REF:0000002	IEA	InterPro:IPR009049	F	Argininosuccinate lyase	F8W943_HUMAN|ASL	protein	taxon:9606	20160409	InterPro		
GO:0042450	UniProtKB	F8W943	ASL		GO_REF:0000002	IEA	InterPro:IPR009049	P	Argininosuccinate lyase	F8W943_HUMAN|ASL	protein	taxon:9606	20160409	InterPro		
GO:0003727	UniProtKB	F8W9F8	A1CF		GO_REF:0000002	IEA	InterPro:IPR033111	F	APOBEC1 complementation factor	F8W9F8_HUMAN|A1CF	protein	taxon:9606	20160409	InterPro		
GO:0010609	UniProtKB	F8W9F8	A1CF		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000075235	P	APOBEC1 complementation factor	F8W9F8_HUMAN|A1CF	protein	taxon:9606	20160409	Ensembl		
GO:0016556	UniProtKB	F8W9F8	A1CF		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000075235	P	APOBEC1 complementation factor	F8W9F8_HUMAN|A1CF	protein	taxon:9606	20160409	Ensembl		
GO:0030895	UniProtKB	F8W9F8	A1CF		GO_REF:0000002	IEA	InterPro:IPR033111	C	APOBEC1 complementation factor	F8W9F8_HUMAN|A1CF	protein	taxon:9606	20160409	InterPro		
GO:0006348	UniProtKB	F8W9G7	HAT1		GO_REF:0000002	IEA	InterPro:IPR017380	P	Histone acetyltransferase type B catalytic subunit	F8W9G7_HUMAN|HAT1	protein	taxon:9606	20160409	InterPro		
GO:0005828	UniProtKB	F8WA11	CLASP1		GO_REF:0000002	IEA	InterPro:IPR028399	C	CLIP-associating protein 1	F8WA11_HUMAN|CLASP1	protein	taxon:9606	20160409	InterPro		
GO:0051010	UniProtKB	F8WA11	CLASP1		GO_REF:0000002	IEA	InterPro:IPR028399	F	CLIP-associating protein 1	F8WA11_HUMAN|CLASP1	protein	taxon:9606	20160409	InterPro		
GO:0035904	UniProtKB	F8WAH6	ELN		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000045102	P	Elastin	F8WAH6_HUMAN|ELN	protein	taxon:9606	20160409	Ensembl		
GO:0036270	UniProtKB	F8WAH6	ELN		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000045102	P	Elastin	F8WAH6_HUMAN|ELN	protein	taxon:9606	20160409	Ensembl		
GO:0043149	UniProtKB	F8WAH6	ELN		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000015138	P	Elastin	F8WAH6_HUMAN|ELN	protein	taxon:9606	20160409	Ensembl		
GO:0044344	UniProtKB	F8WAH6	ELN		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000045102	P	Elastin	F8WAH6_HUMAN|ELN	protein	taxon:9606	20160409	Ensembl		
GO:0071280	UniProtKB	F8WAH6	ELN		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000045102	P	Elastin	F8WAH6_HUMAN|ELN	protein	taxon:9606	20160409	Ensembl		
GO:0071298	UniProtKB	F8WAH6	ELN		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000045102	P	Elastin	F8WAH6_HUMAN|ELN	protein	taxon:9606	20160409	Ensembl		
GO:0071549	UniProtKB	F8WAH6	ELN		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000045102	P	Elastin	F8WAH6_HUMAN|ELN	protein	taxon:9606	20160409	Ensembl		
GO:0071560	UniProtKB	F8WAH6	ELN		GO_REF:0000019	IEA	Ensembl:ENSRNOP00000045102	P	Elastin	F8WAH6_HUMAN|ELN	protein	taxon:9606	20160409	Ensembl		
GO:0071953	UniProtKB	F8WAH6	ELN		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000015138	C	Elastin	F8WAH6_HUMAN|ELN	protein	taxon:9606	20160409	Ensembl		
GO:0030289	UniProtKB	F8WAJ9	PPP4R1		GO_REF:0000002	IEA	InterPro:IPR031087	C	Serine/threonine-protein phosphatase 4 regulatory subunit 1	F8WAJ9_HUMAN|PPP4R1	protein	taxon:9606	20160409	InterPro		
GO:0030362	UniProtKB	F8WAJ9	PPP4R1		GO_REF:0000002	IEA	InterPro:IPR031087	F	Serine/threonine-protein phosphatase 4 regulatory subunit 1	F8WAJ9_HUMAN|PPP4R1	protein	taxon:9606	20160409	InterPro		
GO:0008488	UniProtKB	F8WB98	GGCX		GO_REF:0000002	IEA	InterPro:IPR007782	F	Vitamin K-dependent gamma-carboxylase	F8WB98_HUMAN|GGCX	protein	taxon:9606	20160409	InterPro		
GO:0017187	UniProtKB	F8WB98	GGCX		GO_REF:0000002	IEA	InterPro:IPR007782	P	Vitamin K-dependent gamma-carboxylase	F8WB98_HUMAN|GGCX	protein	taxon:9606	20160409	InterPro		
GO:0050860	UniProtKB	F8WBA1	BTNL2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025198	P	Butyrophilin-like protein 2	F8WBA1_HUMAN|BTNL2	protein	taxon:9606	20160409	Ensembl		
GO:1900042	UniProtKB	F8WBA1	BTNL2		GO_REF:0000019	IEA	Ensembl:ENSMUSP00000025198	P	Butyrophilin-like protein 2	F8WBA1_HUMAN|BTNL2	protein	taxon:9606	20160409	Ensembl		
GO:0004998	UniProtKB	F8WBE5	TFRC		GO_REF:0000002	IEA	InterPro:IPR029513	F	Transferrin receptor protein 1	F8WBE5_HUMAN|TFRC	protein	taxon:9606	20160409	InterPro		
GO:0033572	UniProtKB	F8WBE5	TFRC		GO_REF:0000002	IEA	InterPro:IPR029513	P	Transferrin receptor protein 1	F8WBE5_HUMAN|TFRC	protein	taxon:9606	20160409	InterPro		
GO:0006402	UniProtKB	F8WBZ6	RQCD1		GO_REF:0000002	IEA	InterPro:IPR007216	P	Cell differentiation protein RCD1 homolog	F8WBZ6_HUMAN|RQCD1	protein	taxon:9606	20160409	InterPro		
